2024-04-24 11:35:14.549 WeChatType.py[159] GetSessionList -> Find Control Timeout(10s): {ControlType: ListItemControl}
2024-04-24 11:35:24.773 WeChatType.py[189] ChatWith -> 2024-04-24 12:14:11.222 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2024-04-24 12:14:11.472 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2024-04-24 12:14:11.725 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2024-04-24 12:14:11.981 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2024-04-24 12:14:12.237 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2024-04-24 12:14:12.484 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2024-04-24 12:14:12.734 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2024-04-24 12:14:12.991 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2024-04-24 12:14:13.239 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2024-04-24 12:14:13.487 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2024-04-24 12:14:13.868 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2024-04-24 12:14:14.124 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2024-04-24 12:14:14.377 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2024-04-24 12:14:14.630 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2024-04-24 12:14:14.877 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2024-04-24 12:14:15.121 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2024-04-24 12:14:15.365 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2024-04-24 12:14:15.614 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2024-04-24 12:14:15.868 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2024-04-24 12:14:16.120 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2024-04-24 12:14:16.373 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2024-04-24 12:14:16.624 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2024-04-24 12:14:16.880 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2024-04-24 12:14:17.130 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2024-04-24 12:14:17.378 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2024-04-24 12:14:17.631 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2024-04-24 12:14:17.887 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2024-04-24 12:14:18.145 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2024-04-24 12:14:18.398 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2024-04-24 12:14:18.648 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2024-04-24 12:14:18.900 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2024-04-24 12:14:19.150 WeChatType.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
