Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   
Top1    小牛马            6713                8145                29                  13                  2.23  
Top2    lilt           120506              98324               97                  61                  1.59  
Top3    波奇             41501               42840               30                  22                  1.36  
Top4    Lucas          100380              79312               68                  60                  1.13  
Top5    和明天相逢          23596               24732               15                  14                  1.07  
Top6    这很机车           52863               53688               25                  26                  0.96  
Top7    Ari            45208               48948               36                  41                  0.88  
Top8    你这只臭猫          99162               99286               33                  38                  0.87  
Top9    餐具大师           120408              113320              2                   14                  0.14  
Top10   哞哞             28539               31766               0                   0                   0.00  
Top11   法兰西多士          85725               95218               0                   0                   0.00  
Top12   隗遗生            72844               60419               0                   0                   0.00  
Top13   bob            57436               52626               0                   0                   0.00  
Top14   Ash            21285               21502               0                   0                   0.00  
Top15   京极真            6684                5859                0                   0                   0.00  
Top16   彦祖没有我潇         53185               46773               0                   0                   0.00  
Top17   我没文化           2980                3035                0                   0                   0.00  
Top18   阿司匹林           54097               55493               0                   0                   0.00  
Top19   小熊饼干           88278               86834               0                   0                   0.00  
