Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   新增爆头数               爆头率   
Top1    Ari            46788               50461               21                  11                  1.91  19752               94057%
Top2    lilt           122826              100047              99                  59                  1.68  55554               56115%
Top3    这很机车           57915               59229               59                  51                  1.16  26151               44324%
Top4    Lucas          105710              83736               0                   0                   0.00  58365               0%    
Top5    哞哞             32789               36036               0                   0                   0.00  12524               0%    
Top6    法兰西多士          86033               95473               0                   0                   0.00  39578               0%    
Top7    和明天相逢          25374               26728               0                   0                   0.00  12613               0%    
Top8    隗遗生            72844               60419               0                   0                   0.00  32837               0%    
Top9    小牛马            8078                9746                0                   0                   0.00  3550                0%    
Top10   bob            58206               53306               0                   0                   0.00  23605               0%    
Top11   波奇             41983               43298               0                   0                   0.00  16299               0%    
Top12   餐具大师           121709              114595              0                   0                   0.00  43058               0%    
Top13   Ash            21285               21502               0                   0                   0.00  9075                0%    
Top14   京极真            9763                8145                0                   0                   0.00  5678                0%    
Top15   你这只臭猫          104537              104242              0                   0                   0.00  45594               0%    
Top16   彦祖没有我潇         54239               48409               0                   0                   0.00  19178               0%    
Top17   我没文化           3007                3054                0                   0                   0.00  1716                0%    
Top18   阿司匹林           54196               55598               0                   0                   0.00  19306               0%    
Top19   小熊饼干           88415               86964               0                   0                   0.00  32128               0%    
Top20   深藏Blue         43443               38751               0                   0                   0.00  22618               0%    
Top21   大泡泡            57265               58251               0                   0                   0.00  20493               0%    
Top22   axxibar        17046               20716               0                   0                   0.00  5867                0%    
Top23   GhostFace      95251               35938               0                   0                   0.00  50773               0%    
Top24   林北             32022               31452               0                   0                   0.00  13383               0%    
