Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   新增爆头数               爆头率	新增伤害量 	新增Mvp次数  
Top1    GhostFace      95939               36368               308                 154                 2.00  51251               78%   	9875706             0
Top2    哞哞             32850               36081               17                  10                  1.70  12545               53%   	4819805             0
Top3    lilt           122857              100066              31                  19                  1.63  55569               48%   	17577354            0
Top4    Lucas          106078              84008               121                 100                 1.21  58560               58%   	14858035            0
Top5    你这只臭猫          104798              104465              251                 216                 1.16  45726               50%   	14878560            0
Top6    这很机车           58238               59538               181                 178                 1.02  26343               55%   	8594431             0
Top7    林北             32112               31534               54                  54                  1.00  13426               44%   	4834793             0
Top8    和明天相逢          25387               26744               13                  16                  0.81  12619               46%   	3713990             0
Top9    Ari            46835               50521               34                  43                  0.79  19773               41%   	6619993             0
Top10   彦祖没有我潇         54417               48681               66                  125                 0.53  19254               42%   	8069026             0
Top11   法兰西多士          86033               95473               0                   0                   0.00  39578               0%    	12523486            0
Top12   隗遗生            72844               60419               0                   0                   0.00  32837               0%    	10752521            0	
Top13   小牛马            8078                9746                0                   0                   0.00  3550                0%    	1202988             0
Top14   bob            58227               53318               0                   0                   0.00  23618               0%    	9274380             0
Top15   波奇             41983               43298               0                   0                   0.00  16299               0%    	5711013             0
Top16   餐具大师           121769              114665              0                   0                   0.00  43092               0%    	17410651            0
Top17   Ash            21285               21502               0                   0                   0.00  9075                0%    	3145930             0
Top18   京极真            9763                8145                0                   0                   0.00  5678                0%    	1388890		0             
Top19   我没文化           3007                3054                0                   0                   0.00  1716                0%    	449552              	0
Top20   阿司匹林           54196               55598               0                   0                   0.00  19306               0%    	8031191             0
Top21   小熊饼干           88415               86964               0                   0                   0.00  32128               0%    	12672515            0
Top22   深藏Blue         43443               38751               0                   0                   0.00  22618               0%    	6321298             0
Top23   大泡泡            57266               58253               0                   0                   0.00  20494               0%    	8001602             0
Top24   axxibar        17046               20716               0                   0                   0.00  5867                0%    	2574613             0
