Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   新增爆头数               爆头率   新增伤害量               新增MVP次数             
Top1    你这只臭猫          104905              104535              107                 70                  1.53  45772               43%   15303               9986                
Top2    这很机车           58488               59758               250                 220                 1.14  26464               48%   33784               4118                
Top3    Lucas          106140              84065               62                  57                  1.09  58611               82%   9542                14749               
Top4    lilt           122915              100120              58                  54                  1.07  55612               74%   8136                14534               
Top5    GhostFace      96043               36485               104                 117                 0.89  51317               63%   16241               6688                
Top6    Ari            46848               50536               13                  15                  0.87  19782               69%   1796                5386                
Top7    哞哞             32903               36146               53                  65                  0.82  12571               49%   7366                5869                
Top8    林北             32128               31559               16                  25                  0.64  13432               38%   2504                6371                
Top9    餐具大师           121813              114796              44                  131                 0.34  43114               50%   8175                13641               
Top10   法兰西多士          86033               95473               0                   0                   0.00  39578               0%    0                   11229               
Top11   和明天相逢          25387               26744               0                   0                   0.00  12619               0%    0                   4411                
Top12   隗遗生            72844               60419               0                   0                   0.00  32837               0%    0                   10943               
Top13   小牛马            8078                9746                0                   0                   0.00  3550                0%    0                   971                 
Top14   bob            58227               53318               0                   0                   0.00  23618               0%    0                   9383                
Top15   波奇             41983               43298               0                   0                   0.00  16299               0%    0                   5404                
Top16   Ash            21285               21502               0                   0                   0.00  9075                0%    0                   3019                
Top17   京极真            9763                8145                0                   0                   0.00  5678                0%    0                   1052                
Top18   彦祖没有我潇         54417               48681               0                   0                   0.00  19254               0%    0                   3373                
Top19   我没文化           3007                3054                0                   0                   0.00  1716                0%    0                   777                 
Top20   阿司匹林           54196               55598               0                   0                   0.00  19306               0%    0                   7193                
Top21   小熊饼干           88415               86964               0                   0                   0.00  32128               0%    0                   10602               
Top22   深藏Blue         43443               38751               0                   0                   0.00  22618               0%    0                   3908                
Top23   大泡泡            57266               58253               0                   0                   0.00  20494               0%    0                   8178                
Top24   axxibar        17046               20716               0                   0                   0.00  5867                0%    0                   1724                
