Rank  Nickname       今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   今日爆头数	 新增爆头数               爆头率   今日伤害量	新增伤害量	今日MVP次数               新增MVP次数             
Top1    林北             32276               31667               148                 108                 1.37  13504	0               49%   4860269	0	0             8                   
Top2    Ari            46884               50563               36                  27                  1.33  19791	0               25%   6624478     	0	0             5                   
Top3    lilt           122959              100157              44                  37                  1.19  55639	0               61%   17584362	0	0            6                   
Top4    Lucas          106321              84225               181                 160                 1.13  58699	0               49%   14882781	0	0            28                  
Top5    GhostFace      96285               36729               242                 244                 0.99  51444	0             52%   9913284	0	0             12                  
Top6    哞哞             32931               36175               28                  29                  0.97  12583	0               43%   4823674	0	0             3                   
Top7    深藏Blue         43489               38799               46                  48                  0.96  22642	0               52%   6328629	0	0             3                   
Top8    小牛马            8097                9770                19                  24                  0.79  3558	0                42%   1205928	0	0             3                   
Top9    阿司匹林           54223               55634               27                  36                  0.75  19318	0               44%   8035352	0	0             6                   
Top10   餐具大师           121840              114840              27                  44                  0.61  43127	0               48%   17414584	0	0            2                   
Top11   法兰西多士          86033               95473               0                   0                   0.00  39578	0               0%    12523486	0	0           0                   
Top12   和明天相逢          25387               26744               0                   0                   0.00  12619	0               0%    3713990	0	0             0                   
Top13   隗遗生            72844               60419               0                   0                   0.00  32837	0               0%    10752521	0	0            0                   
Top14   bob            58227               53318               0                   0                   0.00  23618	0               0%    9274380	0	0             0                   
Top15   波奇             41983               43298               0                   0                   0.00  16299	0               0%    5711013	0	0             0                   
Top16   Ash            21285               21502               0                   0                   0.00  9075	0                0%    3145930	0	0             0                   
Top17   这很机车           58488               59758               0                   0                   0.00  26464	0               0%    8594431	0	0             0                   
Top18   京极真            9763                8145                0                   0                   0.00  5678	0                0%    1388890	0	0             0                   
Top19   你这只臭猫          104905              104535              0                   0                   0.00  45772	0               0%    14878560	0	0            0                   
Top20   彦祖没有我潇         54417               48681               0                   0                   0.00  19254	0               0%    8069026	0	0             0                   
Top21   我没文化           3007                3054                0                   0                   0.00  1716	0                0%    449552	0	0              0                   
Top22   小熊饼干           88415               86964               0                   0                   0.00  32128	0               0%    12672515	0	0            0                   
Top23   大泡泡            57266               58253               0                   0                   0.00  20494	0               0%    8001602	0	0             0                   
Top24   axxibar        17046               20716               0                   0                   0.00  5867	0                0%    2574613	0	0             0                   
