Rank  Nickname                      今日击杀数               今日死亡数               新增击杀数               新增死亡数               击杀比   今日爆头数               新增爆头数               爆头率   今日伤害量               新增伤害量               今日MVP次数             新增MVP次数             
Top1    lilt                          123516              100520              211                 126                 1.67  55893               88                  42%   17668990            28543               14613               35                  
Top2    摇滚青年                          83533               57941               83533               57941               1.44  41895               41895               50%   11633527            11633527            8948                8948                
Top3    阿司匹林                          54331               55701               21                  16                  1.31  19359               7                   33%   8049534             3388                7216                2                   
Top4    餐具大师                          121905              114910              47                  38                  1.24  43159               22                  47%   17432974            7207                13650               6                   
Top5    GhostFace                     96725               37109               171                 138                 1.24  51689               99                  58%   9996767             26590               6723                16                  
Top6    Lucas                         106897              84664               151                 124                 1.22  59015               70                  46%   14973171            20417               14859               27                  
Top7    深藏Blue                        43733               39059               107                 95                  1.13  22812               63                  59%   6365316             14810               3920                5                   
Top8    这很机车                          59319               60674               319                 358                 0.89  26941               227                 71%   8747110             44455               4174                4                   
Top9    哞哞                            33176               36449               85                  108                 0.79  12687               41                  48%   4865855             13101               5902                11                  
Top10   bob                           58433               53504               45                  75                  0.60  23717               24                  53%   9304368             7243                9420                5                   
Top11   Ari                           46990               50661               0                   0                   0.00  19832               0                   0%    6639943             0                   5406                0                   
Top12   法兰西多士                         86033               95473               0                   0                   0.00  39578               0                   0%    12523486            0                   11229               0                   
Top13   和明天相逢                         25455               26815               0                   0                   0.00  12658               0                   0%    3723910             0                   4413                0                   
Top14   隗遗生                           72844               60419               0                   0                   0.00  32837               0                   0%    10752521            0                   10943               0                   
Top15   小牛马                           8255                9935                0                   0                   0.00  3624                0                   0%    1229143             0                   986                 0                   
Top16   波奇                            41983               43298               0                   0                   0.00  16299               0                   0%    5711013             0                   5404                0                   
Top17   Ash                           21285               21502               0                   0                   0.00  9075                0                   0%    3145930             0                   3019                0                   
Top18   京极真                           9763                8145                0                   0                   0.00  5678                0                   0%    1388890             0                   1052                0                   
Top19   你这只臭猫                         105041              104681              0                   0                   0.00  45828               0                   0%    14911656            0                   10003               0                   
Top20   彦祖没有我潇                        54520               48813               0                   0                   0.00  19288               0                   0%    8085631             0                   3378                0                   
Top21   我没文化                          3007                3054                0                   0                   0.00  1716                0                   0%    449552              0                   777                 0                   
Top22   小熊饼干                          88415               86964               0                   0                   0.00  32128               0                   0%    12672515            0                   10602               0                   
Top23   大泡泡                           57405               58366               0                   0                   0.00  20554               0                   0%    8018770             0                   8202                0                   
Top24   axxibar                       17046               20716               0                   0                   0.00  5867                0                   0%    2574613             0                   1724                0                   
Top25   林北                            32602               32034               0                   0                   0.00  13662               0                   0%    4910173             0                   6428                0                   
